cluster,source_entity,source_field,evidence_status,declared_type,declared_not_null,inline_primary_key,inline_unique,ddl_receipt,annotation_receipt,proposed_contract_field,proposed_type,handling,target_status
profile,candidate,candidate_password_reset_token,declared,string(),False,False,True,console/migrations/m130524_201442_init.php:58,common/models/Candidate.php:58,profile.Candidate.candidate_password_reset_token,ExcludedCredential,DROP; synthetic auth only,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,candidate_pending_profile,declared,text(),False,False,False,console/migrations/m211223_081947_transfer_api.php:24,common/models/Candidate.php:67,profile.Candidate.candidate_pending_profile,SourceText,synthetic replacement; semantic review before import,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,candidate_personal_photo,declared,string(255),False,False,False,console/migrations/m170427_123738_candidate_photo.php:9,common/models/Candidate.php:34,profile.Candidate.candidate_personal_photo,DocumentReference,substitute bytes; private owner/type/version; unsupported type HOLD,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,candidate_phone,declared,string(20),False,False,False,console/migrations/m170307_121642_candidate_phone.php:9,common/models/Candidate.php:42,profile.Candidate.candidate_phone,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,candidate_preferred_time,declared,literal-or-annotation:string,False,False,False,console/migrations/m211123_120542_candidate_time.php:15,common/models/Candidate.php:63,profile.Candidate.candidate_preferred_time,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,candidate_resume,declared,string(),False,False,False,console/migrations/m200729_094528_candidate_fields.php:16,common/models/Candidate.php:54,profile.Candidate.candidate_resume,DocumentReference,substitute bytes; private owner/type/version; unsupported type HOLD,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,candidate_status,declared,smallInteger(),True,False,False,console/migrations/m130524_201442_init.php:58,common/models/Candidate.php:64,profile.Candidate.candidate_status,SourceEnum,explicit per-domain mapping; unknown value HOLD; never grants,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,candidate_uid,declared,string(20),False,False,False,console/migrations/m170505_114559_candidate_uid.php:10,common/models/Candidate.php:22,profile.Candidate.candidate_uid,SourceText,synthetic replacement; semantic review before import,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,candidate_updated_at,declared,datetime(),True,False,False,console/migrations/m130524_201442_init.php:58,common/models/Candidate.php:71,profile.Candidate.candidate_updated_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,candidate_video,declared,string(),False,False,False,console/migrations/m200907_135723_candidate_video.php:15,common/models/Candidate.php:35,profile.Candidate.candidate_video,DocumentReference,substitute bytes; private owner/type/version; unsupported type HOLD,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,candidate_video_job_id,declared,string(),False,False,False,console/migrations/m201019_103154_candiate_video_webhook.php:24,common/models/Candidate.php:36,profile.Candidate.candidate_video_job_id,UnverifiedReference,name-shaped reference only; no PK/FK/ORM evidence; HOLD before joining,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,candidate_video_processed,declared,boolean(),False,False,False,console/migrations/m201009_153032_candidate_video.php:15,common/models/Candidate.php:37,profile.Candidate.candidate_video_processed,ExactInteger,synthetic bounded values; range and null checks,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,country_id,declared,integer(11),False,False,False,console/migrations/m170425_134445_candidate_country.php:9,common/models/Candidate.php:26,profile.Candidate.country_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,currency_code,declared,char(3),False,False,False,console/migrations/m240214_084103_multi_currency.php:245,common/models/Candidate.php:74,profile.Candidate.currency_code,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,deleted,declared,smallInteger(1),True,False,False,console/migrations/m130524_201442_init.php:58,common/models/Candidate.php:72,profile.Candidate.deleted,SourceEnum,explicit per-domain mapping; unknown value HOLD; never grants,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,enable_two_step_auth,declared,boolean(),False,False,False,console/migrations/m250130_115508_2step_auth.php:30,,profile.Candidate.enable_two_step_auth,ExactInteger,synthetic bounded values; range and null checks,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,ip_address,declared,string(45),False,False,False,console/migrations/m240203_060625_block_ip.php:15,,profile.Candidate.ip_address,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,is_duplicate,declared,boolean(),False,False,False,console/migrations/m230703_091517_mark_duplicate.php:15,common/models/Candidate.php:73,profile.Candidate.is_duplicate,SourceEnum,explicit per-domain mapping; unknown value HOLD; never grants,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,is_incomplete_profile,declared,boolean(),False,False,False,console/migrations/m231217_155618_candidate_query.php:15,common/models/Candidate.php:68,profile.Candidate.is_incomplete_profile,SourceEnum,explicit per-domain mapping; unknown value HOLD; never grants,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,profile_url,declared,string(225),False,False,False,console/migrations/m230406_110939_candidate_profile_url.php:15,common/models/Candidate.php:69,profile.Candidate.profile_url,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,store_id,declared,integer(11),False,False,False,console/migrations/m170223_132254_candidate_to_store.php:9,common/models/Candidate.php:23,profile.Candidate.store_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,university_id,declared,integer(11),False,False,False,console/migrations/m170420_125428_candidate_university.php:9,common/models/Candidate.php:25,profile.Candidate.university_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate,utm_uuid,declared,char(64),False,False,False,console/migrations/m240407_062424_campaign.php:40,common/models/Candidate.php:21,profile.Candidate.utm_uuid,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_certificate,candidate_id,declared,integer(11),True,False,False,console/migrations/m240808_113636_certificate.php:151,common/models/CandidateCertificate.php:15,profile.CandidateCertificate.candidate_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_certificate,candidate_work_history_id,declared,integer(11),False,False,False,console/migrations/m240808_113636_certificate.php:151,common/models/CandidateCertificate.php:16,profile.CandidateCertificate.candidate_work_history_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_certificate,certificate_type,declared,tinyInteger(1),False,False,False,console/migrations/m240808_113636_certificate.php:151,common/models/CandidateCertificate.php:14,profile.CandidateCertificate.certificate_type,SourceEnum,explicit per-domain mapping; unknown value HOLD; never grants,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_certificate,certificate_uuid,declared,char(60),False,False,False,console/migrations/m240808_113636_certificate.php:151,common/models/CandidateCertificate.php:13,profile.CandidateCertificate.certificate_uuid,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_certificate,company_id,declared,integer(11),False,False,False,console/migrations/m240808_113636_certificate.php:151,common/models/CandidateCertificate.php:19,profile.CandidateCertificate.company_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_certificate,created_at,declared,dateTime(),False,False,False,console/migrations/m240808_113636_certificate.php:151,common/models/CandidateCertificate.php:25,profile.CandidateCertificate.created_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_certificate,end_date,declared,date(),False,False,False,console/migrations/m240808_113636_certificate.php:151,common/models/CandidateCertificate.php:22,profile.CandidateCertificate.end_date,LocalDate,preserve relative dates with coherent synthetic calendar; invalid date HOLD,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_certificate,exam_uuid,declared,char(60),False,False,False,console/migrations/m240808_113636_certificate.php:151,common/models/CandidateCertificate.php:17,profile.CandidateCertificate.exam_uuid,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_certificate,is_deleted,declared,boolean(),False,False,False,console/migrations/m240808_113636_certificate.php:151,common/models/CandidateCertificate.php:24,profile.CandidateCertificate.is_deleted,SourceEnum,explicit per-domain mapping; unknown value HOLD; never grants,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_certificate,parent_company_id,declared,integer(11),False,False,False,console/migrations/m240808_113636_certificate.php:151,common/models/CandidateCertificate.php:20,profile.CandidateCertificate.parent_company_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_certificate,staff_id,declared,integer(11),False,False,False,console/migrations/m240808_113636_certificate.php:151,common/models/CandidateCertificate.php:23,profile.CandidateCertificate.staff_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_certificate,start_date,declared,date(),False,False,False,console/migrations/m240808_113636_certificate.php:151,common/models/CandidateCertificate.php:21,profile.CandidateCertificate.start_date,LocalDate,preserve relative dates with coherent synthetic calendar; invalid date HOLD,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_certificate,store_id,declared,integer(11),False,False,False,console/migrations/m240808_113636_certificate.php:151,common/models/CandidateCertificate.php:18,profile.CandidateCertificate.store_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_certificate,updated_at,declared,dateTime(),False,False,False,console/migrations/m240808_113636_certificate.php:151,common/models/CandidateCertificate.php:26,profile.CandidateCertificate.updated_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_education,candidate_id,declared,integer(11),True,False,False,console/migrations/m240523_133605_education.php:1568,common/models/CandidateEducation.php:14,profile.CandidateEducation.candidate_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_education,created_at,declared,dateTime(),False,False,False,console/migrations/m240523_133605_education.php:1568,common/models/CandidateEducation.php:20,profile.CandidateEducation.created_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_education,custom_institution_name,declared,string(255),False,False,False,console/migrations/m250806_054558_update_candidate_education_table.php:19,,profile.CandidateEducation.custom_institution_name,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_education,custom_major,declared,string(255),False,False,False,console/migrations/m250806_110820_add_custom_major_to_candidate_educations.php:15,,profile.CandidateEducation.custom_major,SourceText,synthetic replacement; semantic review before import,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_education,degree_uuid,declared,char(60),False,False,False,console/migrations/m240523_133605_education.php:1568,common/models/CandidateEducation.php:16,profile.CandidateEducation.degree_uuid,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_education,education_type,declared,literal-or-annotation:,False,False,False,console/migrations/m250806_054558_update_candidate_education_table.php:16,,profile.CandidateEducation.education_type,SourceEnum,explicit per-domain mapping; unknown value HOLD; never grants,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_education,education_uuid,declared,char(60),False,False,False,console/migrations/m240523_133605_education.php:1568,common/models/CandidateEducation.php:13,profile.CandidateEducation.education_uuid,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_education,graduation_year,declared,integer(5),False,False,False,console/migrations/m240523_133605_education.php:1568,common/models/CandidateEducation.php:18,profile.CandidateEducation.graduation_year,ExactInteger,synthetic bounded values; range and null checks,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_education,is_currently_studying,declared,boolean(),False,False,False,console/migrations/m240523_133605_education.php:1568,common/models/CandidateEducation.php:19,profile.CandidateEducation.is_currently_studying,SourceEnum,explicit per-domain mapping; unknown value HOLD; never grants,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_education,major_uuid,declared,char(60),False,False,False,console/migrations/m240523_133605_education.php:1568,common/models/CandidateEducation.php:17,profile.CandidateEducation.major_uuid,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_education,university_id,declared,integer(),False,False,False,console/migrations/m250806_054558_update_candidate_education_table.php:22,common/models/CandidateEducation.php:15,profile.CandidateEducation.university_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_education,updated_at,declared,dateTime(),False,False,False,console/migrations/m240523_133605_education.php:1568,common/models/CandidateEducation.php:21,profile.CandidateEducation.updated_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
identity,candidate_email_verify_attempt,candidate_email,declared,string(50),False,False,False,console/migrations/m200724_100421_email_verification.php:21,common/models/CandidateEmailVerifyAttempt.php:15,identity.CandidateEmailVerifyAttempt.candidate_email,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
identity,candidate_email_verify_attempt,ceva_uuid,declared,char(60),False,False,False,console/migrations/m200724_100421_email_verification.php:21,common/models/CandidateEmailVerifyAttempt.php:13,identity.CandidateEmailVerifyAttempt.ceva_uuid,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
identity,candidate_email_verify_attempt,code,declared,string(32),False,False,False,console/migrations/m200724_100421_email_verification.php:21,common/models/CandidateEmailVerifyAttempt.php:14,identity.CandidateEmailVerifyAttempt.code,ExcludedCredential,DROP; synthetic auth only,PROPOSED; runtime schema and semantic acceptance unverified
identity,candidate_email_verify_attempt,created_at,declared,dateTime(),False,False,False,console/migrations/m200724_100421_email_verification.php:21,common/models/CandidateEmailVerifyAttempt.php:17,identity.CandidateEmailVerifyAttempt.created_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
identity,candidate_email_verify_attempt,ip_address,declared,string(45),False,False,False,console/migrations/m200724_100421_email_verification.php:21,common/models/CandidateEmailVerifyAttempt.php:16,identity.CandidateEmailVerifyAttempt.ip_address,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
recruitment,candidate_eval_dept_ques,ceq_uuid,declared,char(60),False,False,False,console/migrations/m230113_065332_candidate_evaluation.php:30,common/models/CandidateEvalDeptQues.php:11,recruitment.CandidateEvalDeptQues.ceq_uuid,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
recruitment,candidate_eval_dept_ques,dept_id,declared,integer(11),False,False,False,console/migrations/m230113_065332_candidate_evaluation.php:30,common/models/CandidateEvalDeptQues.php:10,recruitment.CandidateEvalDeptQues.dept_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
recruitment,candidate_eval_ques,ceq_uuid,declared,char(60),False,False,False,console/migrations/m230113_065332_candidate_evaluation.php:20,common/models/CandidateEvalQues.php:13,recruitment.CandidateEvalQues.ceq_uuid,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
recruitment,candidate_eval_ques,created_at,declared,datetime(),True,False,False,console/migrations/m230113_065332_candidate_evaluation.php:20,common/models/CandidateEvalQues.php:15,recruitment.CandidateEvalQues.created_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
recruitment,candidate_eval_ques,question,declared,string(225),False,False,False,console/migrations/m230113_065332_candidate_evaluation.php:20,common/models/CandidateEvalQues.php:14,recruitment.CandidateEvalQues.question,SourceText,synthetic replacement; semantic review before import,PROPOSED; runtime schema and semantic acceptance unverified
recruitment,candidate_eval_ques,updated_at,declared,datetime(),True,False,False,console/migrations/m230113_065332_candidate_evaluation.php:20,common/models/CandidateEvalQues.php:16,recruitment.CandidateEvalQues.updated_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
recruitment,candidate_evaluation,can_eval_uuid,declared,char(60),False,False,False,console/migrations/m230113_065332_candidate_evaluation.php:36,common/models/CandidateEvaluation.php:15,recruitment.CandidateEvaluation.can_eval_uuid,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
recruitment,candidate_evaluation,candidate_id,declared,integer(11),False,False,False,console/migrations/m230113_065332_candidate_evaluation.php:36,common/models/CandidateEvaluation.php:16,recruitment.CandidateEvaluation.candidate_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
recruitment,candidate_evaluation,created_at,declared,datetime(),True,False,False,console/migrations/m230113_065332_candidate_evaluation.php:36,common/models/CandidateEvaluation.php:21,recruitment.CandidateEvaluation.created_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
recruitment,candidate_evaluation,dept_id,declared,integer(11),False,False,False,console/migrations/m230113_065332_candidate_evaluation.php:36,common/models/CandidateEvaluation.php:17,recruitment.CandidateEvaluation.dept_id,UnverifiedReference,name-shaped reference only; no PK/FK/ORM evidence; HOLD before joining,PROPOSED; runtime schema and semantic acceptance unverified
recruitment,candidate_evaluation,end_date,declared,date(),False,False,False,console/migrations/m230118_130827_update_report_table.php:16,common/models/CandidateEvaluation.php:19,recruitment.CandidateEvaluation.end_date,LocalDate,preserve relative dates with coherent synthetic calendar; invalid date HOLD,PROPOSED; runtime schema and semantic acceptance unverified
recruitment,candidate_evaluation,staff_id,declared,integer(11),False,False,False,console/migrations/m230113_065332_candidate_evaluation.php:36,common/models/CandidateEvaluation.php:20,recruitment.CandidateEvaluation.staff_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
recruitment,candidate_evaluation,start_date,declared,date(),False,False,False,console/migrations/m230118_130827_update_report_table.php:15,common/models/CandidateEvaluation.php:18,recruitment.CandidateEvaluation.start_date,LocalDate,preserve relative dates with coherent synthetic calendar; invalid date HOLD,PROPOSED; runtime schema and semantic acceptance unverified
recruitment,candidate_evaluation,updated_at,declared,datetime(),True,False,False,console/migrations/m230113_065332_candidate_evaluation.php:36,common/models/CandidateEvaluation.php:22,recruitment.CandidateEvaluation.updated_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
recruitment,candidate_evaluation_answer,answer,declared,text(),False,False,False,console/migrations/m230117_113129_candidate_evaluation_answers.php:20,common/models/CandidateEvaluationAnswer.php:13,recruitment.CandidateEvaluationAnswer.answer,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
recruitment,candidate_evaluation_answer,can_eval_uuid,declared,char(60),False,False,False,console/migrations/m230117_113129_candidate_evaluation_answers.php:20,common/models/CandidateEvaluationAnswer.php:10,recruitment.CandidateEvaluationAnswer.can_eval_uuid,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
recruitment,candidate_evaluation_answer,ceq_uuid,declared,char(60),True,False,False,console/migrations/m230117_113129_candidate_evaluation_answers.php:20,common/models/CandidateEvaluationAnswer.php:11,recruitment.CandidateEvaluationAnswer.ceq_uuid,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
recruitment,candidate_evaluation_answer,question,declared,string(225),False,False,False,console/migrations/m230117_113129_candidate_evaluation_answers.php:20,common/models/CandidateEvaluationAnswer.php:12,recruitment.CandidateEvaluationAnswer.question,SourceText,synthetic replacement; semantic review before import,PROPOSED; runtime schema and semantic acceptance unverified
recruitment,candidate_evaluation_answer,rating,declared,tinyInteger(2),False,False,False,console/migrations/m230117_113129_candidate_evaluation_answers.php:20,common/models/CandidateEvaluationAnswer.php:14,recruitment.CandidateEvaluationAnswer.rating,ExactInteger,synthetic bounded values; range and null checks,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_experience,candidate_experience_created_at,declared,dateTime(),False,False,False,console/migrations/m200729_094528_candidate_fields.php:48,common/models/CandidateExperience.php:20,profile.CandidateExperience.candidate_experience_created_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_experience,candidate_experience_id,declared,primaryKey(),False,True,False,console/migrations/m200729_094528_candidate_fields.php:48,common/models/CandidateExperience.php:13,profile.CandidateExperience.candidate_experience_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_experience,candidate_id,declared,integer(11),False,False,False,console/migrations/m200729_094528_candidate_fields.php:48,common/models/CandidateExperience.php:14,profile.CandidateExperience.candidate_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_experience,deleted,declared,smallInteger(1),True,False,False,console/migrations/m201030_101802_soft_delete.php:17,common/models/CandidateExperience.php:19,profile.CandidateExperience.deleted,SourceEnum,explicit per-domain mapping; unknown value HOLD; never grants,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_experience,employer,declared,string(),False,False,False,console/migrations/m241127_162409_experience.php:15,common/models/CandidateExperience.php:16,profile.CandidateExperience.employer,SourceText,synthetic replacement; semantic review before import,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_experience,end_year,declared,smallInteger(5),False,False,False,console/migrations/m241127_162409_experience.php:17,common/models/CandidateExperience.php:18,profile.CandidateExperience.end_year,ExactInteger,synthetic bounded values; range and null checks,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_experience,experience,declared,string(128),True,False,False,console/migrations/m200729_094528_candidate_fields.php:48,common/models/CandidateExperience.php:15,profile.CandidateExperience.experience,SourceText,synthetic replacement; semantic review before import,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_experience,start_year,declared,smallInteger(5),False,False,False,console/migrations/m241127_162409_experience.php:16,common/models/CandidateExperience.php:17,profile.CandidateExperience.start_year,ExactInteger,synthetic bounded values; range and null checks,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_id_card,candidate_id,declared,integer(11),False,False,False,console/migrations/m170502_143647_candidate_ID.php:16,common/models/CandidateIdCard.php:13,profile.CandidateIdCard.candidate_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_id_card,created_at,declared,datetime(),False,False,False,console/migrations/m170502_143647_candidate_ID.php:16,common/models/CandidateIdCard.php:16,profile.CandidateIdCard.created_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_id_card,deleted,declared,smallInteger(1),True,False,False,console/migrations/m201030_101802_soft_delete.php:15,common/models/CandidateIdCard.php:15,profile.CandidateIdCard.deleted,SourceEnum,explicit per-domain mapping; unknown value HOLD; never grants,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_id_card,expiry_date,declared,date(),False,False,False,console/migrations/m170502_143647_candidate_ID.php:16,common/models/CandidateIdCard.php:14,profile.CandidateIdCard.expiry_date,LocalDate,preserve relative dates with coherent synthetic calendar; invalid date HOLD,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_id_card,id,declared,primaryKey(),False,True,False,console/migrations/m170502_143647_candidate_ID.php:16,common/models/CandidateIdCard.php:12,profile.CandidateIdCard.id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_id_card,updated_at,declared,datetime(),False,False,False,console/migrations/m170502_143647_candidate_ID.php:16,common/models/CandidateIdCard.php:17,profile.CandidateIdCard.updated_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_id_request,candidate_ids,declared,text(),False,False,False,console/migrations/m250120_201548_id_request.php:30,common/models/CandidateIdRequest.php:15,profile.CandidateIdRequest.candidate_ids,SourceText,synthetic replacement; semantic review before import,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_id_request,cir_uuid,declared,char(60),False,False,False,console/migrations/m250120_201548_id_request.php:30,common/models/CandidateIdRequest.php:14,profile.CandidateIdRequest.cir_uuid,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_id_request,created_at,declared,dateTime(),False,False,False,console/migrations/m250120_201548_id_request.php:30,common/models/CandidateIdRequest.php:17,profile.CandidateIdRequest.created_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_id_request,created_by,declared,integer(11),False,False,False,console/migrations/m250120_201548_id_request.php:30,common/models/CandidateIdRequest.php:19,profile.CandidateIdRequest.created_by,ExactInteger,synthetic bounded values; range and null checks,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_id_request,status,declared,string(100),False,False,False,console/migrations/m250120_201548_id_request.php:30,common/models/CandidateIdRequest.php:16,profile.CandidateIdRequest.status,SourceEnum,explicit per-domain mapping; unknown value HOLD; never grants,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_id_request,updated_at,declared,dateTime(),False,False,False,console/migrations/m250120_201548_id_request.php:30,common/models/CandidateIdRequest.php:18,profile.CandidateIdRequest.updated_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_id_request,updated_by,declared,integer(11),False,False,False,console/migrations/m250120_201548_id_request.php:30,common/models/CandidateIdRequest.php:20,profile.CandidateIdRequest.updated_by,ExactInteger,synthetic bounded values; range and null checks,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_link,candidate_id,declared,integer(11),True,False,False,console/migrations/m250319_163212_links.php:23,common/models/CandidateLink.php:14,profile.CandidateLink.candidate_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_link,cl_uuid,declared,char(60),False,False,False,console/migrations/m250319_163212_links.php:23,common/models/CandidateLink.php:13,profile.CandidateLink.cl_uuid,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_link,created_at,declared,dateTime(),False,False,False,console/migrations/m250319_163212_links.php:23,common/models/CandidateLink.php:17,profile.CandidateLink.created_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_link,title,declared,string(),True,False,False,console/migrations/m250319_163212_links.php:23,common/models/CandidateLink.php:15,profile.CandidateLink.title,SourceText,synthetic replacement; semantic review before import,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_link,updated_at,declared,dateTime(),False,False,False,console/migrations/m250319_163212_links.php:23,common/models/CandidateLink.php:18,profile.CandidateLink.updated_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
profile,candidate_link,url,declared,string(),True,False,False,console/migrations/m250319_163212_links.php:23,common/models/CandidateLink.php:16,profile.CandidateLink.url,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
